months,ni–osenfermos,ni–oscurados,ni–osfallecidos
2029.5,75487.8404223,16.984764095,6.4164664359
2029.583,76376.044273,17.1846099614,6.49196376321
2029.667,77268.4315695,17.3853971031,6.56781668341
2029.75,78165.0712614,17.5871410338,6.64403105722
2029.833,79066.032244,17.7898572549,6.72061274074
2029.917,79971.3833198,17.9935612469,6.79756758218
2030.0,80881.1931624,18.1982684615,6.8749014188
2030.083,81795.5302822,18.4039943135,6.95262007399
2030.167,82714.4629942,18.6107541737,7.0307293545
2030.25,83638.0593873,18.8185633622,7.10923504792
2030.333,84566.3872962,19.0274371416,7.18814292018
2030.417,85499.5142737,19.2373907116,7.26745871327
2030.5,86437.5075659,19.4484392023,7.3471881431
2030.583,87380.4340876,19.6605976697,7.42733689745
2030.667,88328.3604004,19.8738810901,7.50791063403
2030.75,89281.3526911,20.0883043555,7.58891497874
2030.833,90239.4767518,20.3038822692,7.6703555239
2030.917,91202.7979613,20.5206295413,7.75223782671
2031.0,92171.3812674,20.7385607852,7.83456740773
2031.083,93145.2911703,20.9576905133,7.91734974947
2031.167,94124.5917073,21.1780331341,8.00059029512
2031.25,95109.346438,21.3996029486,8.08429444723
2031.333,96099.6184311,21.622414147,8.16846756665
2031.417,97095.4702513,21.8464808065,8.25311497136
2031.5,98096.9639472,22.0718168881,8.33824193551
2031.583,99104.1610407,22.2984362342,8.42385368846
2031.667,100117.122516,22.5263525662,8.50995541389
2031.75,101135.908811,22.7555794826,8.59655224897
2031.833,102160.579807,22.9861304566,8.68364928361
2031.917,103191.19482,23.2180188346,8.77125155973
2032.0,104227.812595,23.4512578339,8.8593640706
2032.083,105270.491297,23.6858605417,8.94799176022
2032.167,106319.288503,23.9218399132,9.03713952275
2032.25,107374.2612,24.15920877,9.12681220199
2032.333,108435.465775,24.3979797994,9.21701459089
2032.417,109502.957782,24.6381655009,9.30775141144
2032.5,110576.791717,24.8797781364,9.39902729595
2032.583,111657.020818,25.122829684,9.4908467695
