months,desechosurbanos,desechosurbanosgenerados,desechosurbanosreciclados
2026.333,4562088.29954,638053.241663,456619.417901
2026.417,4577207.78486,638484.991023,458132.727186
2026.5,4592237.14018,638917.032534,459637.01536
2026.583,4607177.14161,639349.366393,461132.360104
2026.667,4622028.5588,639781.992797,462618.83845
2026.75,4636792.155,640214.911946,464096.526793
2026.833,4651468.68709,640648.124036,465565.500891
2026.917,4666058.90569,641081.629267,467025.83587
2027.0,4680563.55514,641515.427836,468477.606234
2027.083,4694983.3736,641949.519942,469920.885864
2027.167,4709319.09311,642383.905784,471355.748029
2027.25,4723571.43959,642818.58556,472782.265389
2027.333,4737741.13294,643253.55947,474200.509996
2027.417,4751828.88706,643688.827712,475610.553306
2027.5,4765835.40993,644124.390485,477012.46618
2027.583,4779761.40362,644560.247989,478406.318888
2027.667,4793607.56438,644996.400424,479792.181119
2027.75,4807374.58265,645432.847988,481170.121978
2027.833,4821063.14315,645869.590882,482540.209998
2027.917,4834673.92489,646306.629305,483902.513143
2028.0,4848207.60124,646743.963457,485257.098808
2028.083,4861664.83996,647181.593539,486604.033832
2028.167,4875046.30327,647619.519751,487943.384494
2028.25,4888352.64788,648057.742293,489275.216526
2028.333,4901584.52502,648496.261365,490599.59511
2028.417,4914742.58054,648935.077168,491916.584887
2028.5,4927827.4549,649374.189904,493226.249961
2028.583,4940839.78323,649813.599773,494528.653903
2028.667,4953780.19539,650253.306975,495823.859756
2028.75,4966649.31599,650693.311713,497111.930037
2028.833,4979447.76446,651133.614187,498392.926745
2028.917,4992176.15508,651574.214599,499666.911362
2029.0,5004835.09702,652015.113151,500933.94486
2029.083,5017425.19437,652456.310044,502194.087705
2029.167,5029947.04624,652897.805481,503447.399858
2029.25,5042401.2467,653339.599663,504693.940783
2029.333,5054788.38494,653781.692792,505933.769449
2029.417,5067109.04522,654224.08507,507166.944336
2029.5,5079363.80695,654666.776701,508393.523438
2029.583,5091553.24472,655109.767887,509613.564264
2029.667,5103677.92836,655553.05883,510827.123849
2029.75,5115738.42294,655996.649733,512034.258752
2029.833,5127735.28885,656440.540799,513235.025061
2029.917,5139669.08183,656884.732232,514429.478401
2030.0,5151540.35299,657329.224234,515617.67393
2030.083,5163349.64884,657774.017009,516799.666353
2030.167,5175097.5114,658219.110761,517975.509916
2030.25,5186784.47814,658664.505692,519145.258417
2030.333,5198411.08208,659110.202008,520308.965205
2030.417,5209977.85181,659556.199911,521466.683188
2030.5,5221485.31154,660002.499606,522618.464832
2030.583,5232933.9811,660449.101298,523764.362168
2030.667,5244324.37603,660896.00519,524904.426797
2030.75,5255657.00756,661343.211487,526038.709887
2030.833,5266932.38269,661790.720393,527167.262184
2030.917,5278151.00421,662238.532114,528290.134012
2031.0,5289313.37072,662686.646854,529407.375275
2031.083,5300419.97668,663135.064818,530519.035466
2031.167,5311471.31246,663583.786212,531625.163665
2031.25,5322467.86434,664032.811241,532725.808542
2031.333,5333410.11457,664482.14011,533821.018367
2031.417,5344298.54138,664931.773024,534910.841007
2031.5,5355133.61905,665381.710191,535995.323931
2031.583,5365915.8179,665831.951815,537074.514214
2031.667,5376645.60437,666282.498102,538148.458541
2031.75,5387323.441,666733.349259,539217.20321
2031.833,5397949.7865,667184.505492,540280.794131
2031.917,5408525.09578,667635.967008,541339.276837
2032.0,5419049.81996,668087.734012,542392.69648
2032.083,5429524.40643,668539.806712,543441.097839
2032.167,5439949.29883,668992.185315,544484.52532
2032.25,5450324.93716,669444.870027,545523.022961
2032.333,5460651.75775,669897.861055,546556.634434
2032.417,5470930.19331,670351.158608,547585.403048
2032.5,5481160.67294,670804.762892,548609.371754
2032.583,5491343.6222,671258.674115,549628.583146
2032.667,5501479.46311,671712.892484,550643.079463
2032.75,5511568.6142,672167.418208,551652.902595
2032.833,5521611.4905,672622.251495,552658.094084
2032.917,5531608.50361,673077.392551,553658.695127
2033.0,5541560.06173,673532.841587,554654.746579
2033.083,5551466.56965,673988.59881,555646.288956
2033.167,5561328.42881,674444.664428,556633.362439
2033.25,5571146.0373,674901.038651,557616.006874
2033.333,5580919.78995,675357.721687,558594.261776
2033.417,5590650.07828,675814.713746,559568.166335
2033.5,5600337.29056,676272.015035,560537.759412
2033.583,5609981.81186,676729.625766,561503.07955
