months,hombresenfermos,hombrescurados,hombresfallecidos
2034.167,397837.78997,447.567513716,185.989166811
2034.25,401240.230496,451.395259308,187.579807757
2034.333,404662.078394,455.244838193,189.179521649
2034.417,408103.3175,459.116232188,190.788300931
2034.5,411563.922232,463.009412511,192.406133643
2034.583,415043.857541,466.924339734,194.033003401
2034.667,418543.078883,470.860963743,195.668889378
2034.75,422061.532185,474.819223708,197.313766297
2034.833,425599.153839,478.799048069,198.96760442
2034.917,429155.870687,482.800354523,200.630369546
2035.0,432731.600026,486.823050029,202.302023012
2035.083,436326.249615,490.867030817,203.982521695
2035.167,439939.717693,494.932182405,205.671818022
2035.25,443571.892999,499.018379624,207.369859977
2035.333,447222.654803,503.125486653,209.07659112
2035.417,450891.872938,507.253357055,210.791950598
2035.5,454579.407845,511.401833826,212.515873167
2035.583,458285.110616,515.570749443,214.248289213
2035.667,462008.823046,519.759925926,215.989124774
2035.75,466701.094453,525.03873126,218.182761657
2035.833,471415.445806,530.342376531,220.386720914
2035.917,476151.644922,535.670600537,222.600894001
2036.0,480909.448307,541.023129345,224.825167083
2036.083,485688.601246,546.399676402,227.059421083
2036.167,490488.837895,551.799942632,229.303531716
2036.25,495309.881378,557.223616551,231.557369544
2036.333,500151.443893,562.670374379,233.82080002
2036.417,505013.226809,568.13988016,236.093683533
2036.5,509894.920783,573.631785881,238.375875466
2036.583,514796.205866,579.145731599,240.667226242
2036.667,519716.751615,584.681345567,242.96758138
2036.75,524656.217215,590.238244366,245.276781548
2036.833,529614.251593,595.816033042,247.59466262
2036.917,534590.493543,601.414305236,249.921055731
2037.0,539584.571846,607.032643326,252.255787338
2037.083,544596.105394,612.670618569,254.598679272
2037.167,549624.703323,618.327791238,256.949548803
2037.25,554669.965133,624.003710774,259.3082087
2037.333,559731.480823,629.697915926,261.674467285
2037.417,564808.831022,635.4099349,264.048128503
2037.5,569901.587162,641.139285557,266.428991998
2037.583,575009.311696,646.885475658,268.816853218
2037.667,580131.558351,652.648003145,271.211503529
2037.75,585267.872423,658.426356476,273.612730358
2037.833,590417.791096,664.220014983,276.020317337
2037.917,595580.843797,670.028449272,278.434044475
2038.0,600756.55258,675.851121653,280.853688331
2038.083,605944.432535,681.687486602,283.27902221
2038.167,611143.992216,687.536991243,285.709816361
2038.25,616354.734101,693.399075864,288.145838192
2038.333,621576.155065,699.273174448,290.586852493
2038.417,626807.746872,705.158715231,293.032621663
2038.5,632048.996686,711.055121272,295.482905951
2038.583,637299.387599,716.961811049,297.937463702
2038.667,642558.399164,722.87819906,300.396051609
2038.75,647825.507955,728.80369645,302.858424969
2038.833,653100.188124,734.73771164,305.324337948
2038.917,658381.911974,740.679650971,307.793543848
2039.0,663670.150545,746.628919363,310.26579538
2039.083,668964.374196,752.584920971,312.740844937
2039.167,674264.053208,758.547059859,315.218444875
2039.25,679568.65838,764.514740677,317.698347793
2039.333,684877.661636,770.48736934,320.180306815
2039.417,690190.536636,776.464353716,322.664075877
2039.5,695506.759388,782.445104312,325.149410014
2039.583,700825.808861,788.429034969,327.636065643
2039.667,706147.167605,794.415563555,330.123800855
2039.75,711470.322361,800.404112656,332.612375704
2039.833,716794.764688,806.394110274,335.101552492
2039.917,722119.99157,812.384990516,337.591096059
2040.0,727445.506038,818.376194292,340.080774073
2040.083,732770.817779,824.367170002,342.570357312
2040.167,738095.443753,830.357374223,345.059619955
2040.25,743418.908798,836.346272398,347.548339863
2040.333,748740.746238,842.333339517,350.036298866
2040.417,754060.498483,848.318060793,352.523283041
2040.5,759377.717633,854.299932337,355.009082994
2040.583,764691.966069,860.278461828,357.493494137
2040.667,770002.817043,866.253169173,359.976316968
2040.75,775309.855264,872.223587172,362.457357336
