months,poblacion,inmigrantes',defunciones',emigrantes',nacimientos'
2033.5,10978441.8025,79044.7809782,90901.4981249,9880.59762227,110882.262205
2033.583,10985870.5481,79098.2679466,90963.0081386,9887.28349333,110957.292536
2033.667,10993304.3205,79151.7911079,91024.5597741,9893.97388849,111032.373638
2033.75,11000743.1231,79205.3504866,91086.1530596,9900.66881082,111107.505544
2033.833,11008186.9593,79258.9461071,91147.7880231,9907.36826339,111182.688289
2033.917,11015635.8325,79312.577994,91209.464693,9914.07224924,111257.921908
2034.0,11023089.7461,79366.2461717,91271.1830975,9920.78077147,111333.206435
2034.083,11030548.7035,79419.950665,91332.9432647,9927.49383312,111408.541905
2034.167,11038012.7081,79473.6914983,91394.745223,9934.21143728,111483.928352
2034.25,11045481.7634,79527.4686962,91456.5890006,9940.93358702,111559.36581
2034.333,11052955.8727,79581.2822833,91518.4746258,9947.66028541,111634.854314
2034.417,11060435.0395,79635.1322843,91580.402127,9954.39153554,111710.393899
2034.5,11067919.2672,79689.0187238,91642.3715324,9961.12734048,111785.984599
2034.583,11075408.5592,79742.9416265,91704.3828705,9967.86770331,111861.626448
2034.667,11082902.919,79796.901017,91766.4361696,9974.61262713,111937.319482
2034.75,11090402.35,79850.89692,91828.531458,9981.362115,112013.063735
2034.833,11097906.8556,79904.9293603,91890.6687643,9988.11617004,112088.859242
2034.917,11105416.4392,79958.9983625,91952.8481169,9994.87479531,112164.706036
2035.0,11112931.1044,80013.1039514,92015.0695441,10001.6379939,112240.604154
2035.083,11120450.8544,80067.2461517,92077.3330745,10008.405769,112316.553629
2035.167,11127975.6928,80121.4249883,92139.6387365,10015.1781235,112392.554497
2035.25,11135505.623,80175.6404859,92201.9865587,10021.9550607,112468.606793
2035.333,11143040.6485,80229.8926692,92264.3765696,10028.7365837,112544.71055
2035.417,11150580.7727,80284.1815633,92326.8087978,10035.5226954,112620.865804
2035.5,11158125.999,80338.5071928,92389.2832717,10042.3133991,112697.07259
2035.583,11165676.3309,80392.8695827,92451.8000201,10049.1086978,112773.330942
2035.667,11173231.7719,80447.2687578,92514.3590714,10055.9085947,112849.640896
2035.75,11180792.3254,80501.704743,92576.9604544,10062.7130929,112926.002487
2035.833,11188357.9949,80556.1775632,92639.6041976,10069.5221954,113002.415748
2035.917,11195928.7838,80610.6872433,92702.2903298,10076.3359054,113078.880716
2036.0,11203504.6956,80665.2338084,92765.0188796,10083.154226,113155.397426
2036.083,11211085.7338,80719.8172832,92827.7898757,10089.9771604,113231.965911
2036.167,11218671.9018,80774.4376929,92890.6033469,10096.8047116,113308.586208
2036.25,11226263.2031,80829.0950624,92953.4593218,10103.6368828,113385.258351
2036.333,11233859.6412,80883.7894168,93016.3578293,10110.4736771,113461.982376
2036.417,11241461.2196,80938.5207809,93079.2988981,10117.3150976,113538.758318
2036.5,11249067.9417,80993.28918,93142.282557,10124.1611475,113615.586211
2036.583,11256679.811,81048.094639,93205.3088349,10131.0118299,113692.466091
2036.667,11264296.831,81102.937183,93268.3777605,10137.8671479,113769.397993
2036.75,11271919.0052,81157.8168372,93331.4893628,10144.7271047,113846.381952
2036.833,11279546.337,81212.7336266,93394.6436706,10151.5917033,113923.418004
2036.917,11287178.83,81267.6875763,93457.8407128,10158.460947,114000.506183
2037.0,11294816.4877,81322.6787116,93521.0805183,10165.334839,114077.646526
2037.083,11302459.3135,81377.7070575,93584.3631162,10172.2133822,114154.839067
2037.167,11310107.311,81432.7726393,93647.6885352,10179.0965799,114232.083841
2037.25,11317760.4836,81487.8754821,93711.0568044,10185.9844353,114309.380885
2037.333,11325418.8349,81543.0156112,93774.4679529,10192.8769514,114386.730232
2037.417,11333082.3683,81598.1930518,93837.9220095,10199.7741315,114464.13192
2037.5,11340751.0874,81653.4078291,93901.4190034,10206.6759786,114541.585982
2037.583,11348424.9956,81708.6599684,93964.9589636,10213.582496,114619.092456
2037.667,11356104.0965,81763.9494949,94028.5419192,10220.4936869,114696.651375
2037.75,11363788.3936,81819.2764341,94092.1678992,10227.4095543,114774.262776
2037.833,11371477.8904,81874.6408112,94155.8369328,10234.3301014,114851.926693
2037.917,11379172.5905,81930.0426514,94219.5490492,10241.2553314,114929.643164
2038.0,11386872.4973,81985.4819803,94283.3042773,10248.1852475,115007.412222
2038.083,11394577.6143,82040.9588231,94347.1026466,10255.1198529,115085.233905
2038.167,11402287.9452,82096.4732052,94410.944186,10262.0591507,115163.108246
