months,hombres,defhom,emihom,nachom,inmhom
2033.333333,5311808.98,26877.75,2655.9,27361.13,16505.69
2033.416667,5313398.54,26885.8,2656.7,27369.32,16511.92
2033.5,5314988.57,26893.84,2657.49,27377.51,16518.15
2033.583333,5316579.08,26901.89,2658.29,27385.7,16524.38
2033.666667,5318170.07,26909.94,2659.09,27393.89,16530.62
2033.75,5319761.53,26917.99,2659.88,27402.09,16536.86
2033.833333,5321353.47,26926.05,2660.68,27410.29,16543.1
2033.916667,5322945.89,26934.11,2661.47,27418.49,16549.34
2034,5324538.78,26942.17,2662.27,27426.7,16555.59
2034.083333,5326132.15,26950.23,2663.07,27434.91,16561.84
2034.166667,5327725.99,26958.29,2663.86,27443.12,16568.09
2034.25,5329320.31,26966.36,2664.66,27451.33,16574.34
2034.333333,5330915.11,26974.43,2665.46,27459.54,16580.6
2034.416667,5332510.39,26982.5,2666.26,27467.76,16586.85
2034.5,5334106.14,26990.58,2667.05,27475.98,16593.11
2034.583333,5335702.37,26998.65,2667.85,27484.2,16599.38
2034.666667,5337299.08,27006.73,2668.65,27492.43,16605.64
2034.75,5338896.27,27014.82,2669.45,27500.65,16611.91
2034.833333,5340493.93,27022.9,2670.25,27508.88,16618.18
2034.916667,5342092.08,27030.99,2671.05,27517.12,16624.45
2035,5343690.7,27039.07,2671.85,27525.35,16630.73
2035.083333,5345289.8,27047.17,2672.64,27533.59,16637.0
2035.166667,5346889.38,27055.26,2673.44,27541.83,16643.28
2035.25,5348489.43,27063.36,2674.24,27550.07,16649.56
2035.333333,5350089.97,27071.46,2675.04,27558.31,16655.85
2035.416667,5351690.98,27079.56,2675.85,27566.56,16662.13
2035.5,5353292.48,27087.66,2676.65,27574.81,16668.42
2035.583333,5354894.45,27095.77,2677.45,27583.06,16674.71
2035.666667,5356496.9,27103.87,2678.25,27591.32,16681.01
2035.75,5358099.83,27111.99,2679.05,27599.57,16687.3
2035.833333,5359703.24,27120.1,2679.85,27607.83,16693.6
2035.916667,5361307.13,27128.21,2680.65,27616.09,16699.9
2036,5362911.51,27136.33,2681.46,27624.36,16706.2
2036.083333,5364516.36,27144.45,2682.26,27632.62,16712.51
2036.166667,5366121.69,27152.58,2683.06,27640.89,16718.82
2036.25,5367727.5,27160.7,2683.86,27649.16,16725.13
2036.333333,5369333.79,27168.83,2684.67,27657.44,16731.44
2036.416667,5370940.57,27176.96,2685.47,27665.71,16737.75
2036.5,5372547.82,27185.09,2686.27,27673.99,16744.07
2036.583333,5374155.55,27193.23,2687.08,27682.28,16750.39
2036.666667,5375763.77,27201.36,2687.88,27690.56,16756.71
2036.75,5377372.47,27209.5,2688.69,27698.85,16763.03
2036.833333,5378981.65,27217.65,2689.49,27707.13,16769.36
2036.916667,5380591.31,27225.79,2690.3,27715.43,16775.69
2037,5382201.45,27233.94,2691.1,27723.72,16782.02
2037.083333,5383812.07,27242.09,2691.91,27732.02,16788.36
2037.166667,5385423.18,27250.24,2692.71,27740.31,16794.69
2037.25,5387034.77,27258.4,2693.52,27748.62,16801.03
2037.333333,5388646.84,27266.55,2694.32,27756.92,16807.37
2037.416667,5390259.39,27274.71,2695.13,27765.23,16813.72
2037.5,5391872.42,27282.87,2695.94,27773.53,16820.06
2037.583333,5393485.94,27291.04,2696.74,27781.85,16826.41
2037.666667,5395099.94,27299.21,2697.55,27790.16,16832.76
2037.75,5396714.43,27307.37,2698.36,27798.48,16839.11
2037.833333,5398329.39,27315.55,2699.16,27806.79,16845.47
2037.916667,5399944.84,27323.72,2699.97,27815.12,16851.83
