months,vehiculosacombustiblefosil,vehiculosagnv
2032.667,961018.586152,3680891.25238
2032.75,977474.348069,3690365.65498
2032.833,993942.847067,3699790.89855
2032.917,1010402.57319,3709188.57993
2033.0,1026832.34509,3718579.97616
2033.083,1043211.30746,3727986.04688
2033.167,1059518.92841,3737427.43679
2033.25,1075734.99693,3746924.47804
2033.333,1091839.62033,3756497.19264
2033.417,1107813.22171,3766165.29484
2033.5,1123636.53744,3775948.19351
2033.583,1139290.61465,3785864.9945
2033.667,1154756.80876,3795934.50294
2033.75,1170016.78097,3806175.22563
2033.833,1185052.49585,3816605.37333
2033.917,1199846.21886,3827242.86305
2034.0,1214380.51394,3838105.32033
2034.083,1228638.24109,3849210.08156
2034.167,1242602.55397,3860574.19619
2034.25,1256256.89754,3872214.42901
2034.333,1269585.00564,3884147.26235
2034.417,1282570.89869,3896388.89835
2034.5,1295198.88133,3908955.26111
2034.583,1307453.54008,3921861.99894
2034.667,1319319.74106,3935124.48648
2034.75,1330782.62766,3948757.82694
2034.833,1341827.61829,3962776.85417
2034.917,1352440.40409,3977196.13489
2035.0,1362606.94666,3992029.97073
2035.083,1372313.47588,4007292.40044
2035.167,1381546.48763,4022997.2019
2035.25,1390292.74159,4039157.89427
2035.333,1398539.25905,4055787.74008
2035.417,1406273.32071,4072899.74721
2035.5,1413482.46455,4090506.67106
2035.583,1420154.4836,4108621.0165
2035.667,1426277.42388,4127255.03993
2035.75,1431839.58221,4146420.7513
2035.833,1436829.5041,4166129.91612
2035.917,1441235.98167,4186394.05742
2036.0,1445048.05154,4207224.45777
2036.083,1448254.99277,4228632.16121
2036.167,1450846.32477,4250627.97524
2036.25,1452811.80526,4273222.47274
2036.333,1454141.42825,4296425.9939
2036.417,1454825.42198,4320248.64816
2036.5,1454854.24694,4344700.3161
2036.583,1454218.59384,4369790.65135
2036.667,1452909.38164,4395529.08245
2036.75,1450917.75557,4421924.81477
2036.833,1448235.08518,4448986.83232
2036.917,1444852.96237,4476723.89963
2037.0,1440763.19946,4505144.56359
2037.083,1435957.82727,4534257.15527
2037.167,1430429.09319,4564069.79172
2037.25,1424169.4593,4594590.37782
2037.333,1417172.63696,4625825.57155
2037.417,1409433.56497,4657780.8053
2037.5,1400948.38793,4690460.30702
2037.583,1391714.43486,4723867.12108
2037.667,1381730.19795,4758003.12904
2037.75,1370995.31158,4792869.07011
2037.833,1359510.53151,4828464.56153
2037.917,1347277.71428,4864788.11866
2038.0,1334299.79682,4901837.17495
2038.083,1320580.77624,4939608.10168
2038.167,1306125.68986,4978096.22751
2038.25,1290940.59536,5017295.85788
2038.333,1275032.55121,5057200.29419
2038.417,1258409.59725,5097801.85276
2038.5,1241080.73544,5139091.88375
2038.583,1223055.91088,5181060.78967
2038.667,1204345.99292,5223698.04397
2038.75,1184962.75655,5266992.20919
2038.833,1164918.86388,5310930.95518
2038.917,1144227.84591,5355501.07691
2039.0,1122904.08443,5400688.51231
2039.083,1100962.79405,5446478.3598
2039.167,1078420.00454,5492854.89568
2039.25,1055292.54323,5539801.59139
2039.333,1031598.01766,5587301.13052
2039.417,1007354.79836,5635335.42576
2039.5,982582.001844,5683885.63556
2039.583,957299.473773,5732932.18074
2039.667,931527.772258,5782454.76083
2039.75,905288.151373,5832432.37029
2039.833,878602.544825,5882843.31463
2039.917,851493.54979,5933665.22622
2040.0,823984.410917,5984875.08012
2040.083,796099.004511,6036449.20957
2040.167,767861.822864,6088363.32147
2040.25,739297.958764,6140592.51161
2040.333,710433.090162,6193111.27977
2040.417,681293.465,6245893.54471
2040.5,651905.886201,6298912.65891
2040.583,622297.69682,6352141.42325
2040.667,592496.765351,6405552.1015
2040.75,562531.471192,6459116.43464
2040.833,532430.690266,6512805.65505
2040.917,502223.780795,6566590.5006
2041.0,471940.569232,6620441.22847
2041.083,441611.336339,6674327.62897
2041.167,411266.803423,6728219.03909
2041.25,380938.118714,6782084.35602
2041.333,350656.843901,6835892.05039
2041.417,320454.94081,6889610.17951
2041.5,290364.758227,6943206.40038
2041.583,260419.018871,6996647.9826
2041.667,230650.806512,7049901.82109
2041.75,201093.553224,7102934.44875
2041.833,171781.026792,7155712.04892
2041.917,142747.31825,7208200.46775
2042.0,114026.829564,7260365.22637
