months,mujeresenfermas,mujerescuradas,mujeresfallecidas
2027.333,116448.407377,104.803566639,34.6434011945
2027.417,117821.229433,106.03910649,35.0518157563
2027.5,119198.377526,107.278539773,35.461517314
2027.583,120579.930514,108.521937463,35.872529328
2027.667,121965.971164,109.769374048,36.2848764213
2027.75,123356.585867,111.02092728,36.6985842953
2027.833,124751.86437,112.276677933,37.11367965
2027.917,126151.899527,113.536709574,37.5301901092
2028.0,127556.787055,114.801108349,37.9481441488
2028.083,128966.625309,116.069962778,38.3675710294
2028.167,130381.515067,117.343363561,38.7885007325
2028.25,131801.559327,118.621403394,39.2109638998
2028.333,133226.863113,119.904176801,39.634991776
2028.417,134657.533293,121.191779964,40.0606161546
2028.5,136093.678409,122.484310568,40.4878693268
2028.583,137535.408512,123.781867661,40.9167840324
2028.667,138982.835007,125.084551506,41.3473934145
2028.75,140436.070507,126.392463456,41.7797309758
2028.833,141895.228696,127.705705827,42.2138305372
2028.917,143360.424199,129.024381779,42.6497261993
2029.0,144831.772456,130.34859521,43.0874523056
2029.083,146309.389605,131.678450645,43.5270434075
2029.167,147793.392375,133.014053138,43.9685342316
2029.25,149283.897978,134.35550818,44.4119596485
2029.333,150781.024012,135.702921611,44.8573546436
2029.417,152284.888367,137.05639953,45.3047542891
2029.5,153795.609136,138.416048223,45.754193718
2029.583,155313.304536,139.781974082,46.2057080993
2029.667,156838.092822,141.15428354,46.6593326145
2029.75,158370.092219,142.533082998,47.1151024353
2029.833,159909.420851,143.918478766,47.5730527033
2029.917,161456.196672,145.310577005,48.0332185099
2030.0,163010.537404,146.709483663,48.4956348776
2030.083,164572.560481,148.115304433,48.9603367432
2030.167,166142.382992,149.528144693,49.4273589402
2030.25,167720.121627,150.948109465,49.8967361841
2030.333,169305.89263,152.375303367,50.3685030575
2030.417,170899.811751,153.809830576,50.8426939959
2030.5,172501.994203,155.251794782,51.3193432753
2030.583,174112.55462,156.701299158,51.7984849993
2030.667,175731.607019,158.158446317,52.2801530881
2030.75,177359.264764,159.623338287,52.7643812672
2030.833,178995.640529,161.096076477,53.2512030575
2030.917,180640.846272,162.576761644,53.7406517658
2031.0,182294.993194,164.065493875,54.2327604753
2031.083,183958.191723,165.562372551,54.7275620377
2031.167,185630.551479,167.067496331,55.2250890649
2031.25,187312.18125,168.580963125,55.7253739219
2031.333,189003.188973,170.102870076,56.2284487196
2031.417,190703.681708,171.633313537,56.7343453081
2031.5,192413.765618,173.172389056,57.2430952712
2031.583,194133.54595,174.720191355,57.7547299203
2031.667,195863.127021,176.276814319,58.2692802889
2031.75,197602.612196,177.842350976,58.7867771282
2031.833,199352.103873,179.416893485,59.3072509021
2031.917,201111.703472,181.000533125,59.8307317829
2032.0,202881.51142,182.593360278,60.3572496476
2032.083,204661.627139,184.195464425,60.8868340739
2032.167,206452.149031,185.806934128,61.4195143369
2032.25,208253.174474,187.427857027,61.955319406
2032.333,210064.799805,189.058319824,62.4942779419
2032.417,211887.119918,190.698407926,63.0364181757
2032.5,213720.227884,192.348205095,63.5817677954
2032.583,215564.214591,194.007793132,64.1303538409
2032.667,217419.168421,195.677251579,64.6822026053
2032.75,219285.174934,197.356657441,65.237339543
2032.833,221162.316588,199.046084929,65.795789185
2032.917,223050.672468,200.745605221,66.3575750591
2033.0,224950.31804,202.455286236,66.9227196169
2033.083,226861.324925,204.175192432,67.4912441652
2033.167,228783.760684,205.905384616,68.0631688035
2033.25,230717.688625,207.645919762,68.6385123659
2033.333,232663.167621,209.396850859,69.2172923673
2033.417,234620.251948,211.158226753,69.7995249544
2033.5,236588.991129,212.930092016,70.3852248609
2033.583,238569.429802,214.712486821,70.974405366
2033.667,240561.607587,216.505446828,71.567078257
2033.75,242565.558977,218.309003079,72.1632537957
