months,personasenfermas,personasfallecidas',personascuradas'
2040.25,2038443.26466,4586.49734548,1732.67677496
2040.333,2048545.08902,4609.22645029,1741.26332566
2040.417,2058641.59993,4631.94359985,1749.84535994
2040.5,2068731.91999,4654.64681998,1758.42213199
2040.583,2078815.19207,4677.33418215,1766.99291326
2040.667,2088890.58043,4700.00380598,1775.55699337
2040.75,2098957.27196,4722.65386191,1784.11368117
2040.833,2109014.4772,4745.2825737,1792.66230562
2040.917,2119061.43155,4767.88822098,1801.20221682
2041.0,2129097.39633,4790.46914174,1809.73278688
2041.083,2139121.65991,4813.02373481,1818.25341093
2041.167,2149133.5388,4835.55046231,1826.76350798
2041.25,2159132.3787,4858.04785207,1835.26252189
2041.333,2169117.55557,4880.51450004,1843.74992224
2041.417,2179088.47671,4902.94907259,1852.2252052
2041.5,2189044.58175,4925.35030893,1860.68789449
2041.583,2198985.3437,4947.71702333,1869.13754215
2041.667,2208910.26997,4970.04810742,1877.57372947
2041.75,2218818.9033,4992.34253243,1885.99606781
2041.833,2228710.82283,5014.59935137,1894.40419941
2041.917,2238585.64498,5036.81770122,1902.79779824
2042.0,2248443.02445,5036.81770122,1902.79779824
